  500
   25 20177     1     6
   21 20526     9     1
   76 22565     4    10
   90 19357     9     5
   34 22782     4     3
   90 18318     7     3
   81 21061     3     1
   87 18103     9     1
    3 21420     1     5
   23 22944    10    10
   60 22584     3     5
   62 18162     1     8
    2 22374     7     9
    1 22284     8     6
   49 19972     4     1
   82 21490     7     7
   32 20093     8     4
   45 20060     3     9
   92 21045     8     6
   57 22736     8     9
   26 22034     1    10
   87 19162    10     2
   83 18897     4     7
   86 18987     8     4
   73 19990     9     1
    6 22233     1     1
   82 19371     2     5
   31 18611     3     4
   66 19193     2     9
   24 20891    10     8
   60 19407     8    10
   91 21449     2     4
   45 18373     8     9
   35 18928     3    10
   81 22884     2     9
   79 18112     4     1
   25 19324     9     3
   61 20902     6    10
   66 18293     2     2
   27 22823     2     7
   84 20803     5     9
   25 22956     4     6
   89 17942     2     5
   85 20133     1     8
   26 22196     3     1
   37 19992     7     6
   66 18580     9     4
   57 19246     1     4
   82 22131     9     4
   58 21703     8    10
   13 18938    10     3
    7 21121     9     4
   44 22943     8     1
   96 19914     6     9
   92 22186     8     7
   17 19890     8     2
    2 19104     8     9
   73 18514     2     2
   48 20579     2     5
   68 20375     9     8
   97 21484     1    10
    7 22065     9     5
   58 18781     2     2
   42 21935     1     8
   41 17949     3     5
   39 18621     3    10
   21 22126     4     8
   65 19352     4     7
   99 21601    10     9
   86 22498     7     9
   92 19131     5     3
   82 19360     4     8
   10 22410     1     5
   80 19152     8     7
   67 21572     6     5
   36 21563     3     5
   17 21223     5     2
   33 22230     6     9
   92 22887     5     9
   98 20310     5     5
   90 20890     3     9
    5 18782     5     1
    4 18387     4     9
   33 20790    10    10
  100 20774     2     9
   96 22652     3     5
   49 22758     9     1
    2 21956     9     8
   68 18123     4     6
   96 20294    10     6
   69 19288     7     6
   65 21685     7     5
    3 19315    10    10
   27 20147    10     7
    6 20577     9     2
   43 19342     3     4
   65 20847     2     6
   26 19659     4    10
    8 20773     6     1
   64 19405     3     5
   11 19114    10     9
  100 21983     2     3
   46 20843     6     3
   21 18480    10     3
   79 18091     9    10
   13 19372     3     8
   56 22122     5     7
   95 21392     3     2
   45 18559     8     6
   48 21965     9     5
   93 18658    10     7
   34 21527    10     4
   53 22825     5     6
   96 19124     3     5
   67 19273     2     3
   52 20556     8     4
   91 18733     7     9
   16 18987    10     4
   54 19469     8     2
   59 18934     3     5
   12 21360    10     9
   23 20835     4     7
   23 22698     1     9
   14 22753     1     9
   50 17939     5     3
   29 20232     9     1
   57 19052     3     3
   14 20864     6     9
   54 21970     2    10
   64 21904    10     3
   78 22348     8     4
   65 18040     1     9
   63 20843     1     6
   24 20147     5     6
   86 18599     3     1
   42 21012     2     5
   36 21598     9     3
   42 22799     9     8
   37 19361     6     7
   80 22235     6     9
   90 21720     9     3
   29 20097     5     3
   14 20718     8     2
   42 21502     6     8
   25 21300     9     8
   80 22070     9     5
   94 19015     3     2
   16 22111     6     6
   96 18013    10     8
   47 20562     1     4
   75 18002     8    10
    7 21452     1     7
   69 18354     6     1
   97 22779     8     9
   21 21162     2     5
   18 18371     1     3
   25 19967     8     9
   77 22293     6     7
   32 21314     8     2
   79 18893     9     9
   40 21153     6    10
   10 20618     8     6
   44 19012     1     7
    3 18953     8     5
   33 22844     4     1
   30 19689     5     8
   44 22043     9    10
   68 21399     3     4
   72 19444     5     6
   81 18361     5     6
   48 20590     8     2
   61 18121     4     9
    9 20536     9     9
   61 18265     7     4
    2 21701     9     7
   34 18793     8     6
   41 22413     5     8
   95 22794     1     8
   49 22982     5     1
   36 22505     5     6
   42 20313     3     1
   23 17941     2     1
   43 20913     5     2
   11 20745     9     1
   20 22798     1    10
   63 19032     8     6
   29 21195     1     4
   45 19722    10     8
   40 18281     4     3
   61 19466     8     6
   24 20694     8     7
   80 21512     1     3
   70 22162     5     1
   67 21784    10     4
   82 22543     8     8
    3 21963     1     2
   97 18429     7     2
   26 21543     9     7
   71 20318     3     6
   68 19952     1     7
    6 21983     3     3
   18 22987     2     7
   28 20151     6     6
   15 19475     3     1
   79 18208     9     1
   30 18809     4     2
   48 20347     2     6
   20 22700     3     8
   25 18559     7     9
   96 20285     6     7
   56 22161     9     3
   66 20951     9    10
   19 20305     9     8
   98 20031     6     5
   77 18652     9     1
   38 20059     9     7
   61 21141     3     1
    5 21925     1     5
   82 21859     8     5
  100 21501     6     3
   65 18347     9     1
    5 19509     7     2
   80 19970     6     6
   35 22588     5     2
   72 18250     9     5
   61 19469     6     3
   37 21508     5     3
   68 18757     7     6
   87 17969     4    10
    8 18782     9     8
   36 20788     9     3
   93 22030     6     2
   26 18726     1     5
   64 23017     5     9
    8 18462    10     2
    5 19013     9     5
   93 18782    10    10
   55 20887     2     8
   24 18669     3     3
   17 19420     8     9
   51 18129     7     5
   79 22909     4     6
   83 22449     9     9
   70 20513     6     2
   77 19897     9    10
   59 18058     9     9
    7 22650     6     9
   38 17995     1    10
   64 22061    10     4
   89 21466     6     4
   38 21574     9     3
   29 22487     8     5
   94 17932     4     5
   17 18500     4     8
   63 22031     4     6
   66 18261     4     9
   78 20048     9     1
  100 20495     1     8
   34 19097    10     5
   65 20096     4    10
    8 21356     9     6
   69 21963     1     8
   57 19083     1     1
   33 22161     1     1
   32 21936     7     6
   64 19624     1     3
   37 18130     9     6
   25 22797     6     6
   19 22590     2     1
   61 18878     4     8
   42 19174     6     4
   70 22797    10     5
   40 18744     7     3
   24 18580     4     2
   39 20267     5     7
   16 20719     7     3
   83 18716     2     1
   46 19874     3     5
   54 20793     7     2
   46 22856     1     5
   34 18297     8     8
   91 19323     7     5
   74 22300    10     9
   28 18307     3     3
    8 19902     1     3
   37 21287     6     4
   93 18647     7     2
   85 22028     1     3
   37 18739     6     2
   26 19822     8     6
   49 19081     5     2
   44 22174     6     8
   95 18741    10     4
    6 20242     7     3
   76 21291     7     8
   26 22756     6    10
   70 21944     7     6
   13 21500     7     3
   51 22510     4     5
   88 21490     8     7
   73 22456    10     1
   92 18640     9     8
   58 21244     8     1
   12 18156     8     3
   15 19299     2    10
   96 18467     4     8
   28 20954     4     6
   98 20094     5    10
   41 20420     6     3
   81 18703     3     7
   44 19906     6     5
   75 20795     5    10
   72 20105     9     1
   17 19162     7     3
    2 21181     8     3
