"run","status","objective","gap","nodes","time","root","exact","exactCalls","rounds","probe","firstCandidates","reusedCalls","filteredStarts","fallbackStarts","fullF","fullB","nonReuseProbeResidual","valid"
"n050-set02-m2-random-base-zero-baseline-r1","FINISHED","107444.000000","0.000000","3","117.031814","104.474283","7.388125","48","78","4.87851","80","0","0","0","2.1672000000000002","0.7163999999999998","1.9949100000000002","true/true"
"n050-set02-m2-random-base-zero-baseline-r2","FINISHED","107444.000000","0.000000","3","154.799485","143.090362","6.486763","44","82","3.720529999999998","50","0","0","0","2.2605000000000004","0.6831999999999997","0.7768299999999978","true/true"
"n050-set02-m2-random-base-zero-mean-r1","FINISHED","107444.000000","0.000000","5","129.528525","110.159165","8.759721","80","151","5.3801309999999996","87","75","51","24","2.498099999999999","2.1227000000000014","0.7593309999999992","true/true"
"n050-set02-m2-random-base-zero-mean-r2","FINISHED","107444.000000","0.000000","5","136.870583","112.479385","10.049075","71","126","6.232646000000003","77","66","47","19","2.7466999999999997","2.649399999999999","0.8365460000000035","true/true"
"n050-set03-m2-random-base-zero-baseline-r1","FINISHED","137052.000000","0.000000","16","255.42607","82.396389","116.914331","223","471","89.33717000000004","681","0","0","0","21.618100000000016","38.116099999999996","30.301776000000025","true/true"
"n050-set03-m2-random-base-zero-baseline-r2","FINISHED","137052.000000","0.000000","16","269.555824","77.032166","122.667705","217","435","93.043602","641","0","0","0","23.956099999999974","37.133300000000034","32.714379","true/true"
"n050-set03-m2-random-base-zero-mean-r1","FINISHED","137052.000000","0.000000","14","236.383679","51.87908","114.012682","184","395","82.62249099999995","214","171","171","0","28.8569","51.93960000000004","3.7330089999999143","true/true"
"n050-set03-m2-random-base-zero-mean-r2","FINISHED","137052.000000","0.000000","14","239.069707","91.658544","93.082091","181","376","66.22119200000003","212","168","168","0","24.76309999999998","38.63409999999999","4.088894000000057","true/true"
"n050-set05-m2-random-base-zero-baseline-r1","FINISHED","67209.000000","0.000000","40","1119.353595","125.961761","712.186321","658","1596","572.341541","2693","0","0","0","140.34229999999997","229.74449999999996","214.64872900000006","true/true"
"n050-set05-m2-random-base-zero-baseline-r2","FINISHED","67209.000000","0.000000","42","1407.371891","102.152564","942.279349","666","1668","761.621922","2673","0","0","0","182.45690000000025","321.64050000000066","271.2980669999991","true/true"
"n050-set05-m2-random-base-zero-mean-r1","FINISHED","67209.000000","0.000000","30","857.819177","132.958914","490.17331","457","1135","367.0021020000001","560","428","392","36","133.07559999999998","199.33170000000027","42.75055499999982","true/true"
"n050-set05-m2-random-base-zero-mean-r2","FINISHED","67209.000000","0.000000","32","698.523921","73.767423","419.870048","474","1115","304.2466150000001","591","443","395","48","109.53950000000005","174.19319999999996","30.663604000000035","true/true"
