"run","status","objective","gap","nodes","time","root","exact","exactCalls","rounds","probe","firstCandidates","reusedCalls","filteredStarts","fallbackStarts","fullF","fullB","nonReuseProbeResidual","valid"
"n040-set01-m3-random-base-zero-baseline-r1","FINISHED","75705.000000","0.000000","10","15.574847","3.973933","1.737829","38","56","0.45730200000000004","38","0","0","0","0.263","0.13140000000000002","0.06290200000000001","true/true"
"n040-set01-m3-random-base-zero-baseline-r2","FINISHED","75705.000000","0.000000","10","15.886473","4.199007","1.704173","43","66","0.4047430000000001","43","0","0","0","0.25060000000000004","0.0872","0.066943","true/true"
"n040-set01-m3-random-base-zero-mean-r1","FINISHED","75705.000000","0.000000","10","17.008271","4.568767","1.861843","45","71","0.4704330000000001","45","36","18","18","0.27080000000000004","0.12560000000000004","0.074033","true/true"
"n040-set01-m3-random-base-zero-mean-r2","FINISHED","75705.000000","0.000000","10","16.325031","4.163713","1.716032","40","60","0.430732","40","31","14","17","0.25859999999999994","0.107","0.06513200000000006","true/true"
"n050-set01-m2-random-base-zero-baseline-r1","FINISHED","76419.000000","0.000000","6","338.039239","114.942025","175.555249","79","205","139.12519999999995","384","0","0","0","24.82449999999999","44.595100000000016","71.40156299999995","true/true"
"n050-set01-m2-random-base-zero-baseline-r2","FINISHED","76419.000000","0.000000","6","221.605409","64.879073","124.433473","81","211","97.44216800000005","402","0","0","0","19.0239","32.221399999999996","48.18246600000004","true/true"
"n050-set01-m2-random-base-zero-mean-r1","FINISHED","76419.000000","0.000000","6","156.420422","70.96903","59.684631","75","201","39.08190799999999","117","70","70","0","15.338499999999993","18.3932","7.113903999999995","true/true"
"n050-set01-m2-random-base-zero-mean-r2","FINISHED","76419.000000","0.000000","6","172.69591","56.046722","71.128023","69","182","47.42971200000001","103","64","64","0","15.6302","23.161899999999992","9.658603000000015","true/true"
"n050-set01-m4-random-base-zero-baseline-r1","FINISHED","27713.000000","0.000000","18","25.60005","7.826983","2.081476","86","106","0.5708970000000002","86","0","0","0","0.34919999999999984","0.14500000000000005","0.07669700000000029","true/true"
"n050-set01-m4-random-base-zero-baseline-r2","FINISHED","27713.000000","0.000000","18","23.82469","6.881256","2.03532","86","106","0.537334","86","0","0","0","0.3221","0.14300000000000002","0.0722339999999999","true/true"
"n050-set01-m4-random-base-zero-mean-r1","FINISHED","27713.000000","0.000000","18","24.803631","6.907967","2.103657","86","106","0.583964","86","69","64","5","0.3534","0.14660000000000006","0.08396400000000002","true/true"
"n050-set01-m4-random-base-zero-mean-r2","FINISHED","27713.000000","0.000000","18","24.194257","6.959729","2.024922","86","106","0.5444150000000002","86","69","64","5","0.3265999999999999","0.1390000000000001","0.07881500000000019","true/true"
