"run","status","objective","gap","nodes","time","root","exact","exactCalls","rounds","probe","firstCandidates","reusedCalls","fullF","fullB","nonReuseProbeResidual","valid"
"n040-set01-m3-random-base-zero-baseline","FINISHED","75705.000000","0.000000","10","17.464505","5.4461","1.709605","40","61","0.4490899999999999","40","0","0.2738","0.1054","0.06988999999999986","true/true"
"n040-set01-m3-random-base-zero-baseline-repeat","FINISHED","75705.000000","0.000000","10","16.447114","4.182407","1.952286","45","73","0.4907430000000001","45","0","0.3094","0.10719999999999998","0.0741430000000001","true/true"
"n040-set01-m3-random-base-zero-reuse","FINISHED","75705.000000","0.000000","10","12.036688","4.385145","1.307613","43","64","0.2927909999999999","43","34","0.17420000000000002","0.06330000000000004","0.05529099999999989","true/true"
"n040-set01-m3-random-base-zero-reuse-repeat","FINISHED","75705.000000","0.000000","10","16.760203","4.483102","1.940185","47","73","0.503416","47","38","0.3059999999999999","0.128","0.06941600000000005","true/true"
"n040-set02-m3-random-base-zero-baseline","ROOT_PROCESSED","63788.000000","0.000000","1","4.139455","4.13421","0.489313","4","7","0.163503","4","0","0.0996","0.0212","0.04270300000000002","true/true"
"n040-set02-m3-random-base-zero-baseline-repeat","ROOT_PROCESSED","63788.000000","0.000000","1","4.276607","4.271625","0.639598","4","7","0.191226","4","0","0.1158","0.030700000000000005","0.044726","true/true"
"n040-set02-m3-random-base-zero-reuse","ROOT_PROCESSED","63788.000000","0.000000","1","4.238296","4.233993","0.565688","5","8","0.19224000000000002","5","4","0.114","0.0322","0.046040000000000005","true/true"
"n040-set02-m3-random-base-zero-reuse-repeat","ROOT_PROCESSED","63788.000000","0.000000","1","4.105849","4.100819","0.635771","4","7","0.22275299999999998","4","3","0.1449","0.0272","0.050652999999999976","true/true"
"n050-set01-m2-random-base-zero-baseline","FINISHED","76419.000000","0.000000","6","208.996503","63.684733","117.248087","81","211","90.93406599999997","402","0","17.208299999999998","29.816300000000002","45.88567799999997","true/true"
"n050-set01-m2-random-base-zero-baseline-repeat","FINISHED","76419.000000","0.000000","6","260.307936","130.970441","119.589188","81","210","92.78783300000003","402","0","16.28350000000001","28.561899999999998","49.11357700000002","true/true"
"n050-set01-m2-random-base-zero-reuse","FINISHED","76419.000000","0.000000","6","276.634562","109.11727","123.134394","79","204","87.833922","169","74","25.364599999999996","39.83079999999998","26.964448000000033","true/true"
"n050-set01-m2-random-base-zero-reuse-repeat","FINISHED","76419.000000","0.000000","6","218.14895","88.852376","88.226692","79","201","60.32046600000001","155","74","17.600500000000007","27.519700000000004","16.827186999999995","true/true"
"n050-set01-m4-random-base-zero-baseline","FINISHED","27713.000000","0.000000","18","18.488834","5.644262","1.585504","86","106","0.4196539999999999","86","0","0.24760000000000004","0.10360000000000003","0.06845399999999986","true/true"
"n050-set01-m4-random-base-zero-baseline-repeat","FINISHED","27713.000000","0.000000","14","25.639341","7.660277","1.794711","60","72","0.44405999999999995","60","0","0.2589","0.11969999999999997","0.06545999999999993","true/true"
"n050-set01-m4-random-base-zero-reuse","FINISHED","27713.000000","0.000000","18","29.477171","8.472676","2.331844","86","106","0.6456420000000002","86","69","0.3972","0.16649999999999998","0.08194200000000021","true/true"
"n050-set01-m4-random-base-zero-reuse-repeat","FINISHED","27713.000000","0.000000","18","29.411367","7.858322","2.516032","86","106","0.6960999999999998","86","69","0.421","0.1876999999999999","0.0873999999999999","true/true"
