"run","status","objective","gap","nodes","time","root","exact","exactCalls","rounds","probe","firstCandidates","reusedCalls","filteredStarts","fallbackStarts","fullF","fullB","nonReuseProbeResidual","valid"
"pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-baseline","TIME_LIMIT","140604.000000","2.672212","34","18004.147502","1166.697346","15735.75263","734","2065","4430.668154","4296","0","0","0","6581.3665","5114.53849999999","2179.071539","true/true"
"pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-mean","TIME_LIMIT","140604.000000","2.697331","36","18000.040153","1002.546799","15726.987635","769","2153","2862.045541","1186","734","276","458","7625.7837","5749.4459","328.381099000001","true/true"
"pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr-baseline","TIME_LIMIT","92014.000000","4.461395","26","18000.132068","1050.407575","16473.416633","499","939","3482.403529","2900","0","0","0","8026.8489","4850.5508","2096.779812","true/true"
"pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-baseline","TIME_LIMIT","173763.000000","1.831819","40","18000.158916","1106.790118","15389.731558","919","2337","4832.42321899999","5508","0","0","0","7744.60859999998","3032.1934","2603.90627900001","true/true"
"pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-mean","TIME_LIMIT","173763.000000","1.844072","46","18000.241939","1016.316503","15567.983971","945","2417","2723.387252","1365","899","213","686","8475.77580000001","4739.88740000001","276.982837999968","true/true"
"pricing-n080-set01-m4-random-base-n1-wnarrow-ng_dssr-baseline","TIME_LIMIT","80922.000000","1.621544","152","18000.686701","438.167967","14032.200153","1843","3511","7069.41759899999","9734","0","0","0","4774.36839999999","2711.7454","4330.69973799998","true/true"
"pricing-n080-set01-m4-random-base-n1-wnarrow-ng_dssr-mean","TIME_LIMIT","80922.000000","1.640635","163","18002.788801","289.575502","13845.458183","1871","3625","4963.58384399999","5046","1708","1477","231","4843.62930000001","4315.57780000001","2351.95836199998","true/true"
"pricing-n080-set01-m4-random-base-n1-wwide-ng_dssr-baseline","TIME_LIMIT","44420.000000","5.862510","108","18000.852192","258.303107","15529.509208","1088","1788","5770.932574","6519","0","0","0","7468.9003","2460.0715","3738.00119799998","true/true"
"pricing-n080-set01-m4-random-base-n1-wwide-ng_dssr-mean","TIME_LIMIT","44420.000000","5.745560","142","18001.342592","286.055859","15207.613062","1302","2093","3236.56936","2722","1160","564","596","8495.13749999998","3419.4338","1072.074923","true/true"
"pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-baseline","FINISHED","109518.000000","0.000000","114","12849.643523","339.518753","9959.313799","1374","2979","4753.779744","7620","0","0","0","4014.2334","1320.6513","2893.513322","true/true"
"pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-mean","FINISHED","109518.000000","0.000000","108","10240.880367","329.47399","7734.66114","1265","2631","2355.312965","2042","1158","1129","29","3990.3727","1690.5681","420.552491000006","true/true"
"pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-baseline","FINISHED","49501.000000","0.000000","36","2523.813074","217.229225","1749.566899","276","412","1278.144378","1656","0","0","0","526.0985","191.597","751.324871","true/true"
"pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-mean","FINISHED","49501.000000","0.000000","38","2341.810145","161.541247","1527.967209","281","449","755.521354999999","827","244","220","24","404.4373","440.0877","403.240950999999","true/true"
"pricing-n080-set01-m5-random-base-n1-wzero-ng_dssr-baseline","TIME_LIMIT","78030.000000","1.802947","395","18000.034635","231.925368","11766.298914","3461","6576","7686.968989","16429","0","0","0","2834.92000000001","1665.40820000002","5013.92412199997","true/true"
"pricing-n080-set01-m5-random-base-n1-wzero-ng_dssr-mean","TIME_LIMIT","76815.000000","0.238277","534","18000.035906","170.919917","9874.760221","4584","8898","4488.33757399999","8182","4050","2517","1533","3024.09449999999","2489.78430000003","1598.20008099995","true/true"
