taskSetId	size	caseIndex	machines	setupType	scaleLevel	nominalScale	windowLevel	windowMinimum	windowMaximum	windowFingerprint	instance	sourceFile	averageProcessing
n050-set01	50	1	2	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/base/zero/m2.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	3	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/base/zero/m3.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	4	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/base/zero/m4.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	2	family	base	1	narrow	80	120	a5d002d7c170618d97f7106ad637ad7639ba3ae9583af9697ed782626dd23b2d	data/n050-set01/family/base/narrow/m2.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	3	family	base	1	narrow	80	120	a5d002d7c170618d97f7106ad637ad7639ba3ae9583af9697ed782626dd23b2d	data/n050-set01/family/base/narrow/m3.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	4	family	base	1	narrow	80	120	a5d002d7c170618d97f7106ad637ad7639ba3ae9583af9697ed782626dd23b2d	data/n050-set01/family/base/narrow/m4.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	2	family	base	1	wide	280	320	368918e20795735060c8bffca5991f7ab92fc798f998cc6c7cc2307237aa6a11	data/n050-set01/family/base/wide/m2.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	3	family	base	1	wide	280	320	368918e20795735060c8bffca5991f7ab92fc798f998cc6c7cc2307237aa6a11	data/n050-set01/family/base/wide/m3.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	4	family	base	1	wide	280	320	368918e20795735060c8bffca5991f7ab92fc798f998cc6c7cc2307237aa6a11	data/n050-set01/family/base/wide/m4.dat	data/50-1/wet050_060.dat	52.200000000
n050-set01	50	1	2	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/medium-heterogeneous/zero/m2.dat	data/50-1/wet050_060.dat	542.080000000
