taskSetId	setupType	scaleLevel	windowLevel	nominalScale	machines	instance	targetMean	actualMean	meanError	cap	maximum	triangleViolations	floydChangedArcs	withinMean	betweenMean	bodySha256
n050-set01	family	base	zero	1	2	instances/data/n050-set01/family/base/zero/m2.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	7029bd9d01592e993a2b6ac50c0c3ac44fd20a5a1fbd11db65acaea9888a2f0b
n050-set01	family	base	zero	1	3	instances/data/n050-set01/family/base/zero/m3.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	7029bd9d01592e993a2b6ac50c0c3ac44fd20a5a1fbd11db65acaea9888a2f0b
n050-set01	family	base	zero	1	4	instances/data/n050-set01/family/base/zero/m4.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	7029bd9d01592e993a2b6ac50c0c3ac44fd20a5a1fbd11db65acaea9888a2f0b
n050-set01	family	base	narrow	1	2	instances/data/n050-set01/family/base/narrow/m2.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	83d10c98df312a34646aad185afd98a5093f977ccdb9203a8ba0e4481167c4aa
n050-set01	family	base	narrow	1	3	instances/data/n050-set01/family/base/narrow/m3.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	83d10c98df312a34646aad185afd98a5093f977ccdb9203a8ba0e4481167c4aa
n050-set01	family	base	narrow	1	4	instances/data/n050-set01/family/base/narrow/m4.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	83d10c98df312a34646aad185afd98a5093f977ccdb9203a8ba0e4481167c4aa
n050-set01	family	base	wide	1	2	instances/data/n050-set01/family/base/wide/m2.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	79216be0788a5a6e934c8bede6acff28b3ec1814c41b125e5cd4a423c1d599b5
n050-set01	family	base	wide	1	3	instances/data/n050-set01/family/base/wide/m3.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	79216be0788a5a6e934c8bede6acff28b3ec1814c41b125e5cd4a423c1d599b5
n050-set01	family	base	wide	1	4	instances/data/n050-set01/family/base/wide/m4.dat	26.100000000	26.103265306	0.003265306	52	42	0	0	7.348214286	34.929171669	79216be0788a5a6e934c8bede6acff28b3ec1814c41b125e5cd4a423c1d599b5
n050-set01	family	medium	zero	10	2	instances/data/n050-set01/family/medium-heterogeneous/zero/m2.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	ee432d1f354a9ce4a5276616fb680b3bd9f4f4a2abb15012bc3c9fca5b8a0b22
n050-set01	family	medium	zero	10	3	instances/data/n050-set01/family/medium-heterogeneous/zero/m3.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	ee432d1f354a9ce4a5276616fb680b3bd9f4f4a2abb15012bc3c9fca5b8a0b22
n050-set01	family	medium	zero	10	4	instances/data/n050-set01/family/medium-heterogeneous/zero/m4.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	ee432d1f354a9ce4a5276616fb680b3bd9f4f4a2abb15012bc3c9fca5b8a0b22
n050-set01	family	medium	narrow	10	2	instances/data/n050-set01/family/medium-heterogeneous/narrow/m2.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	e3651920aa7098b669c97ed5065d90eb22ac2017f30c2cb1c299b1db86bf7945
n050-set01	family	medium	narrow	10	3	instances/data/n050-set01/family/medium-heterogeneous/narrow/m3.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	e3651920aa7098b669c97ed5065d90eb22ac2017f30c2cb1c299b1db86bf7945
n050-set01	family	medium	narrow	10	4	instances/data/n050-set01/family/medium-heterogeneous/narrow/m4.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	e3651920aa7098b669c97ed5065d90eb22ac2017f30c2cb1c299b1db86bf7945
n050-set01	family	medium	wide	10	2	instances/data/n050-set01/family/medium-heterogeneous/wide/m2.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	1f60a361210332e89a24ed1ab3f26b4671a92b0e27f6936502259d54cf8be750
n050-set01	family	medium	wide	10	3	instances/data/n050-set01/family/medium-heterogeneous/wide/m3.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	1f60a361210332e89a24ed1ab3f26b4671a92b0e27f6936502259d54cf8be750
n050-set01	family	medium	wide	10	4	instances/data/n050-set01/family/medium-heterogeneous/wide/m4.dat	271.040000000	271.620816327	0.580816327	542	437	0	0	76.855867347	363.274909964	1f60a361210332e89a24ed1ab3f26b4671a92b0e27f6936502259d54cf8be750
n050-set01	family	high	zero	20	2	instances/data/n050-set01/family/high-heterogeneous/zero/m2.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	0bbb2c23f061f09b92b572fee861a233f1889e99d2a68129ee2fbdb32adeb5cc
n050-set01	family	high	zero	20	3	instances/data/n050-set01/family/high-heterogeneous/zero/m3.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	0bbb2c23f061f09b92b572fee861a233f1889e99d2a68129ee2fbdb32adeb5cc
n050-set01	family	high	zero	20	4	instances/data/n050-set01/family/high-heterogeneous/zero/m4.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	0bbb2c23f061f09b92b572fee861a233f1889e99d2a68129ee2fbdb32adeb5cc
n050-set01	family	high	narrow	20	2	instances/data/n050-set01/family/high-heterogeneous/narrow/m2.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	02d7fe8e2d27db6b4a41550ae8ff4ff1cff7d762e6e9aa66d5d0b2aa45fbdc9a
n050-set01	family	high	narrow	20	3	instances/data/n050-set01/family/high-heterogeneous/narrow/m3.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	02d7fe8e2d27db6b4a41550ae8ff4ff1cff7d762e6e9aa66d5d0b2aa45fbdc9a
n050-set01	family	high	narrow	20	4	instances/data/n050-set01/family/high-heterogeneous/narrow/m4.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	02d7fe8e2d27db6b4a41550ae8ff4ff1cff7d762e6e9aa66d5d0b2aa45fbdc9a
n050-set01	family	high	wide	20	2	instances/data/n050-set01/family/high-heterogeneous/wide/m2.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	17faf05365ae7ae0763b29231e332500034349c1ab17b954dd7dae641def4412
n050-set01	family	high	wide	20	3	instances/data/n050-set01/family/high-heterogeneous/wide/m3.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	17faf05365ae7ae0763b29231e332500034349c1ab17b954dd7dae641def4412
n050-set01	family	high	wide	20	4	instances/data/n050-set01/family/high-heterogeneous/wide/m4.dat	521.520000000	522.065306122	0.545306122	1043	840	0	0	146.964285714	698.583433373	17faf05365ae7ae0763b29231e332500034349c1ab17b954dd7dae641def4412
n050-set02	family	base	zero	1	2	instances/data/n050-set02/family/base/zero/m2.dat	26.870000000	26.878367347	0.008367347	53	43	0	0	7.573979592	35.962785114	73ffb3b27c5ca9136da3774e4cc551179c4762ff79cfccfe848cb5d6540a3b7a
n050-set02	family	base	zero	1	3	instances/data/n050-set02/family/base/zero/m3.dat	26.870000000	26.878367347	0.008367347	53	43	0	0	7.573979592	35.962785114	73ffb3b27c5ca9136da3774e4cc551179c4762ff79cfccfe848cb5d6540a3b7a
n050-set02	family	base	zero	1	4	instances/data/n050-set02/family/base/zero/m4.dat	26.870000000	26.878367347	0.008367347	53	43	0	0	7.573979592	35.962785114	73ffb3b27c5ca9136da3774e4cc551179c4762ff79cfccfe848cb5d6540a3b7a
n050-set02	family	base	narrow	1	2	instances/data/n050-set02/family/base/narrow/m2.dat	26.870000000	26.878367347	0.008367347	53	43	0	0	7.573979592	35.962785114	5539278ec20e9f3e36d09d08802cc3d210ed62ce6d60c7d9f414d0f35afb74ae
n050-set02	family	base	narrow	1	3	instances/data/n050-set02/family/base/narrow/m3.dat	26.870000000	26.878367347	0.008367347	53	43	0	0	7.573979592	35.962785114	5539278ec20e9f3e36d09d08802cc3d210ed62ce6d60c7d9f414d0f35afb74ae
