taskSetId	setupType	scaleLevel	windowLevel	machines	instance	processingMismatches	windowMismatches	weightMismatches	setupMismatches	setupCostMismatches	workloadScale
n050-set01	family	base	zero	2	instances/data/n050-set01/family/base/zero/m2.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	zero	3	instances/data/n050-set01/family/base/zero/m3.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	zero	4	instances/data/n050-set01/family/base/zero/m4.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	narrow	2	instances/data/n050-set01/family/base/narrow/m2.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	narrow	3	instances/data/n050-set01/family/base/narrow/m3.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	narrow	4	instances/data/n050-set01/family/base/narrow/m4.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	wide	2	instances/data/n050-set01/family/base/wide/m2.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	wide	3	instances/data/n050-set01/family/base/wide/m3.dat	0	0	0	0	0	1.000000000000
n050-set01	family	base	wide	4	instances/data/n050-set01/family/base/wide/m4.dat	0	0	0	0	0	1.000000000000
n050-set01	family	medium	zero	2	instances/data/n050-set01/family/medium-heterogeneous/zero/m2.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	zero	3	instances/data/n050-set01/family/medium-heterogeneous/zero/m3.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	zero	4	instances/data/n050-set01/family/medium-heterogeneous/zero/m4.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	narrow	2	instances/data/n050-set01/family/medium-heterogeneous/narrow/m2.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	narrow	3	instances/data/n050-set01/family/medium-heterogeneous/narrow/m3.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	narrow	4	instances/data/n050-set01/family/medium-heterogeneous/narrow/m4.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	wide	2	instances/data/n050-set01/family/medium-heterogeneous/wide/m2.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	wide	3	instances/data/n050-set01/family/medium-heterogeneous/wide/m3.dat	0	0	0	0	0	10.384674329502
n050-set01	family	medium	wide	4	instances/data/n050-set01/family/medium-heterogeneous/wide/m4.dat	0	0	0	0	0	10.384674329502
n050-set01	family	high	zero	2	instances/data/n050-set01/family/high-heterogeneous/zero/m2.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	zero	3	instances/data/n050-set01/family/high-heterogeneous/zero/m3.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	zero	4	instances/data/n050-set01/family/high-heterogeneous/zero/m4.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	narrow	2	instances/data/n050-set01/family/high-heterogeneous/narrow/m2.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	narrow	3	instances/data/n050-set01/family/high-heterogeneous/narrow/m3.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	narrow	4	instances/data/n050-set01/family/high-heterogeneous/narrow/m4.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	wide	2	instances/data/n050-set01/family/high-heterogeneous/wide/m2.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	wide	3	instances/data/n050-set01/family/high-heterogeneous/wide/m3.dat	0	0	0	0	0	19.981609195402
n050-set01	family	high	wide	4	instances/data/n050-set01/family/high-heterogeneous/wide/m4.dat	0	0	0	0	0	19.981609195402
n050-set02	family	base	zero	2	instances/data/n050-set02/family/base/zero/m2.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	zero	3	instances/data/n050-set02/family/base/zero/m3.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	zero	4	instances/data/n050-set02/family/base/zero/m4.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	narrow	2	instances/data/n050-set02/family/base/narrow/m2.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	narrow	3	instances/data/n050-set02/family/base/narrow/m3.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	narrow	4	instances/data/n050-set02/family/base/narrow/m4.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	wide	2	instances/data/n050-set02/family/base/wide/m2.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	wide	3	instances/data/n050-set02/family/base/wide/m3.dat	0	0	0	0	0	1.000000000000
n050-set02	family	base	wide	4	instances/data/n050-set02/family/base/wide/m4.dat	0	0	0	0	0	1.000000000000
n050-set02	family	medium	zero	2	instances/data/n050-set02/family/medium-heterogeneous/zero/m2.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	zero	3	instances/data/n050-set02/family/medium-heterogeneous/zero/m3.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	zero	4	instances/data/n050-set02/family/medium-heterogeneous/zero/m4.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	narrow	2	instances/data/n050-set02/family/medium-heterogeneous/narrow/m2.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	narrow	3	instances/data/n050-set02/family/medium-heterogeneous/narrow/m3.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	narrow	4	instances/data/n050-set02/family/medium-heterogeneous/narrow/m4.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	wide	2	instances/data/n050-set02/family/medium-heterogeneous/wide/m2.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	wide	3	instances/data/n050-set02/family/medium-heterogeneous/wide/m3.dat	0	0	0	0	0	10.120208410867
n050-set02	family	medium	wide	4	instances/data/n050-set02/family/medium-heterogeneous/wide/m4.dat	0	0	0	0	0	10.120208410867
n050-set02	family	high	zero	2	instances/data/n050-set02/family/high-heterogeneous/zero/m2.dat	0	0	0	0	0	20.095273539263
n050-set02	family	high	zero	3	instances/data/n050-set02/family/high-heterogeneous/zero/m3.dat	0	0	0	0	0	20.095273539263
n050-set02	family	high	zero	4	instances/data/n050-set02/family/high-heterogeneous/zero/m4.dat	0	0	0	0	0	20.095273539263
n050-set02	family	high	narrow	2	instances/data/n050-set02/family/high-heterogeneous/narrow/m2.dat	0	0	0	0	0	20.095273539263
n050-set02	family	high	narrow	3	instances/data/n050-set02/family/high-heterogeneous/narrow/m3.dat	0	0	0	0	0	20.095273539263
