taskSetId	scaleLevel	nominalMultiplier	processingSeed	centerSeed	processingArithmeticMean	centerArithmeticMean	processingWeightedMean	processingMinimum	processingMaximum	centerMinimum	centerMaximum	processingMultipliers	centerMultipliers	processingFingerprint	centerFingerprint
n050-set01	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa
n050-set01	medium	10	60360314381433	60359252879949	10.240000000	9.920000000	10.384674330	5	15	5	15	11,12,15,12,9,11,7,10,10,14,14,13,11,13,5,8,8,7,12,10,9,10,14,8,5,12,14,11,6,13,5,10,7,15,5,6,7,15,14,8,15,12,13,5,9,13,5,13,9,12	12,6,6,7,8,8,10,13,8,12,13,13,12,8,13,13,5,5,7,9,15,9,14,6,8,14,9,13,15,11,6,10,9,7,12,13,8,11,12,7,8,5,6,8,14,14,14,5,10,15	0919bb062653ae99f582c51659805d3a5f1b134f261fd97aa9d56d26ca5108e9	09e405286cc8a90937813e4143855e5f9ce45e5248ca8f1919da814580502a0e
n050-set01	high	20	60360230758264	60359203334476	20.140000000	20.320000000	19.981609195	15	25	15	25	17,18,24,23,23,21,22,15,19,24,17,24,15,18,20,22,25,20,19,17,25,19,15,18,17,17,19,18,25,23,25,19,18,18,15,23,20,17,16,22,24,25,25,21,24,23,19,19,20,15	20,23,15,22,15,20,16,19,20,20,22,23,22,22,21,19,17,17,17,22,24,17,20,16,18,19,19,17,21,24,19,24,25,24,22,25,19,22,18,19,25,23,22,24,20,23,24,17,15,19	e5a9920b054d881c9e00504581671e326f7b516a18072f33b60d3cb755edc714	ccae0c7d35ba0112f498d053f9f9af6fc96d5f9386c583b7465c700695b46590
n050-set02	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa
n050-set02	medium	10	60360314381464	60359252879980	10.020000000	10.560000000	10.120208411	5	15	5	15	10,6,8,14,14,15,14,5,12,5,10,14,14,15,10,15,9,13,14,12,7,12,8,8,7,5,5,11,13,9,12,5,15,10,10,11,10,12,6,6,5,12,6,9,13,14,10,7,7,7	10,8,15,9,9,9,12,13,12,6,13,10,7,11,15,6,10,8,10,14,11,13,13,14,7,6,10,5,6,11,12,11,10,14,14,5,15,9,11,12,11,13,15,10,10,13,7,11,11,11	019273e9cc5074235a5935aee405da269079429d7ec00befb8246b3be1e554e3	91e6ff7efd48a21020b418d98dc038043dac5f58a843b5f042d505601e93b860
n050-set02	high	20	60360230758295	60359203334507	20.100000000	20.100000000	20.095273539	15	25	15	25	20,17,25,24,25,21,22,17,15,24,19,23,19,19,16,25,25,21,17,20,18,17,16,15,25,16,23,15,16,25,20,22,23,16,18,24,18,16,18,21,20,17,15,25,25,25,24,25,15,18	22,18,21,20,24,17,23,25,16,23,17,17,18,24,15,21,16,25,18,16,16,15,15,22,23,17,21,18,20,23,22,15,24,25,20,24,23,23,18,24,24,23,17,17,22,22,15,15,24,22	cab9b3d734fe9c7a26ca999f27a61fd3ad7be2a2c3986ebc7413b5fc4efaff78	fdfa4c08b5e2092512569c8ed85036904c77afeb9e08712030bb8b7e27ec91da
n050-set03	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa
n050-set03	medium	10	60360314381495	60359252880011	11.260000000	9.980000000	10.705213642	5	15	5	15	12,12,14,12,12,12,10,11,9,8,15,10,10,6,14,15,6,9,13,7,8,10,14,13,12,13,8,14,10,5,15,15,14,9,10,10,14,13,5,13,14,14,10,11,15,15,12,14,5,11	13,6,5,10,11,8,12,14,9,6,15,9,9,12,10,9,12,7,8,6,15,9,15,12,15,5,14,5,10,15,7,15,5,12,6,6,13,8,15,9,7,7,14,14,9,5,13,6,8,14	075167fcbcb4094f384dc8c59c19ffb32f1a8cac03c5081ad283690a27ad7540	667edc9f82b752f1ee46c7866b86c137feb7168942f665d17a2e1d6c40088720
n050-set03	high	20	60360230758326	60359203334538	20.600000000	19.240000000	20.505292042	15	25	15	25	18,18,23,24,16,22,24,17,17,18,19,20,25,22,20,20,21,22,20,23,25,19,17,23,24,21,24,21,20,16,15,24,25,23,22,16,25,25,19,15,24,16,21,16,22,23,18,20,17,25	21,23,16,22,18,21,19,19,18,15,24,20,21,15,19,15,15,19,20,17,23,17,21,22,25,23,15,18,16,17,19,18,21,17,16,16,15,20,21,22,22,25,19,19,15,23,20,20,23,17	49a25250dda48e0c1af085eeeaa3981b276358d38fb5b60db6f6a5fe7238db1a	64642c610f5ae557ae787127f0fa5c4b85355933606974d2d7f32934f6544399
n050-set04	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa
