runId	mainClass	args	outputDir	dependsOn	block	action	taskSetId	size	machines	setupType	scaleLevel	windowLevel	algorithm	outsourcingModel	outsourcingRate	discountLevel
pricing-n020-set01-m4-family-base-n1-wzero-time_indexed	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-base-n1-wzero-time_indexed" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/base/zero/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wzero-time_indexed" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wzero-time_indexed		pricing-comparison	solve	n020-set01	20	4	family	base	zero	TIME_INDEXED			not-applicable
pricing-n020-set01-m4-family-base-n1-wzero-time_indexed_sri	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-base-n1-wzero-time_indexed_sri" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/base/zero/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wzero-time_indexed_sri" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wzero-time_indexed_sri		pricing-comparison	solve	n020-set01	20	4	family	base	zero	TIME_INDEXED_SRI			not-applicable
pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/base/narrow/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-base-n1-wnarrow.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed		pricing-comparison	solve	n020-set01	20	4	family	base	narrow	TIME_INDEXED			not-applicable
pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed_sri	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed_sri" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/base/narrow/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed_sri" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-base-n1-wnarrow.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed_sri		pricing-comparison	solve	n020-set01	20	4	family	base	narrow	TIME_INDEXED_SRI			not-applicable
pricing-n020-set01-m4-family-base-n1-wwide-time_indexed	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-base-n1-wwide-time_indexed" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/base/wide/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wwide-time_indexed" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-base-n1-wwide.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wwide-time_indexed		pricing-comparison	solve	n020-set01	20	4	family	base	wide	TIME_INDEXED			not-applicable
pricing-n020-set01-m4-family-base-n1-wwide-time_indexed_sri	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-base-n1-wwide-time_indexed_sri" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/base/wide/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wwide-time_indexed_sri" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-base-n1-wwide.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-base-n1-wwide-time_indexed_sri		pricing-comparison	solve	n020-set01	20	4	family	base	wide	TIME_INDEXED_SRI			not-applicable
pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/medium-heterogeneous/zero/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-medium-n10-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed		pricing-comparison	solve	n020-set01	20	4	family	medium	zero	TIME_INDEXED			not-applicable
pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed_sri	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed_sri" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/medium-heterogeneous/zero/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed_sri" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-medium-n10-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed_sri		pricing-comparison	solve	n020-set01	20	4	family	medium	zero	TIME_INDEXED_SRI			not-applicable
pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/medium-heterogeneous/narrow/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-medium-n10-wnarrow.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed		pricing-comparison	solve	n020-set01	20	4	family	medium	narrow	TIME_INDEXED			not-applicable
pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed_sri	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed_sri" --instance="D:/ccxWork/work1/instances/no_outsourcing/data/n020-set01/family/medium-heterogeneous/narrow/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed_sri" --seedFile="D:/ccxWork/work1/experiments/20260911-cluster-le60/seeds/n020-set01-m4-family-medium-n10-wnarrow.seed" --timeLimitSeconds="10800" --maxNodes="100000" --enableClusterBranching="true" --structuredArcStrictTypePriority="true" --clusterMstTheta="0.5" --clusterTemporalWeight="0.0"	D:/ccxWork/work1/experiments/20260911-cluster-le60/runs/pricing-comparison/pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed_sri		pricing-comparison	solve	n020-set01	20	4	family	medium	narrow	TIME_INDEXED_SRI			not-applicable
