runId	mainClass	args	outputDir	dependsOn	block	action	taskSetId	size	machines	setupType	scaleLevel	windowLevel	algorithm	outsourcingModel	outsourcingRate	discountLevel
seed-n050-set01-m2-family-base-wnarrow-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m2-family-base-wnarrow-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/narrow/m2.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m2-family-base-wnarrow-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-base-wnarrow-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-base-wnarrow-f3		seed	seed	n050-set01	50	2	family	base	narrow				not-applicable
seed-n050-set01-m3-family-base-wnarrow-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m3-family-base-wnarrow-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/narrow/m3.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m3-family-base-wnarrow-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-base-wnarrow-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-base-wnarrow-f3		seed	seed	n050-set01	50	3	family	base	narrow				not-applicable
seed-n050-set01-m4-family-base-wnarrow-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m4-family-base-wnarrow-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/narrow/m4.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m4-family-base-wnarrow-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m4-family-base-wnarrow-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m4-family-base-wnarrow-f3		seed	seed	n050-set01	50	4	family	base	narrow				not-applicable
seed-n050-set01-m2-family-base-wwide-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m2-family-base-wwide-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/wide/m2.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m2-family-base-wwide-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-base-wwide-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-base-wwide-f3		seed	seed	n050-set01	50	2	family	base	wide				not-applicable
seed-n050-set01-m3-family-base-wwide-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m3-family-base-wwide-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/wide/m3.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m3-family-base-wwide-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-base-wwide-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-base-wwide-f3		seed	seed	n050-set01	50	3	family	base	wide				not-applicable
seed-n050-set01-m4-family-base-wwide-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m4-family-base-wwide-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/wide/m4.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m4-family-base-wwide-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m4-family-base-wwide-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m4-family-base-wwide-f3		seed	seed	n050-set01	50	4	family	base	wide				not-applicable
seed-n050-set01-m2-family-base-wzero-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m2-family-base-wzero-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/zero/m2.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m2-family-base-wzero-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-base-wzero-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-base-wzero-f3		seed	seed	n050-set01	50	2	family	base	zero				not-applicable
seed-n050-set01-m3-family-base-wzero-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m3-family-base-wzero-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/zero/m3.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m3-family-base-wzero-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-base-wzero-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-base-wzero-f3		seed	seed	n050-set01	50	3	family	base	zero				not-applicable
seed-n050-set01-m4-family-base-wzero-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m4-family-base-wzero-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/base/zero/m4.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m4-family-base-wzero-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m4-family-base-wzero-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m4-family-base-wzero-f3		seed	seed	n050-set01	50	4	family	base	zero				not-applicable
seed-n050-set01-m2-family-high-wnarrow-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m2-family-high-wnarrow-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/high-heterogeneous/narrow/m2.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m2-family-high-wnarrow-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-high-wnarrow-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m2-family-high-wnarrow-f3		seed	seed	n050-set01	50	2	family	high	narrow				not-applicable
seed-n050-set01-m3-family-high-wnarrow-f3	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m3-family-high-wnarrow-f3" --instance="D:/ccx/work1/instances/family-count-balanced-20260914/data/n050-set01/family/high-heterogeneous/narrow/m3.dat" --seedFile="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/seeds/n050-set01-m3-family-high-wnarrow-f3.seed" --outputDir="D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-high-wnarrow-f3"	D:/ccx/work1/experiments/20260914-balanced-family-ng-n50/runs/seeds/seed-n050-set01-m3-family-high-wnarrow-f3		seed	seed	n050-set01	50	3	family	high	narrow				not-applicable
