size	machines	instance	averageProcessing
40	2	${WORKSPACE}/data/40-2/wet040_001_2m.dat	51.625000
40	2	${WORKSPACE}/data/40-2/wet040_002_2m.dat	50.975000
40	2	${WORKSPACE}/data/40-2/wet040_003_2m.dat	45.925000
40	3	${WORKSPACE}/data/40-3/wet040_001_3m.dat	51.625000
40	3	${WORKSPACE}/data/40-3/wet040_002_3m.dat	50.975000
40	3	${WORKSPACE}/data/40-3/wet040_003_3m.dat	45.925000
40	4	${WORKSPACE}/data/40-4/wet040_001_4m.dat	51.625000
40	4	${WORKSPACE}/data/40-4/wet040_002_4m.dat	50.975000
40	4	${WORKSPACE}/data/40-4/wet040_003_4m.dat	45.925000
50	2	${WORKSPACE}/data/50-2/wet050_001_2m.dat	55.500000
50	2	${WORKSPACE}/data/50-2/wet050_002_2m.dat	52.020000
50	2	${WORKSPACE}/data/50-2/wet050_003_2m.dat	50.140000
50	3	${WORKSPACE}/data/50-3/wet050_001_3m.dat	55.500000
50	3	${WORKSPACE}/data/50-3/wet050_002_3m.dat	52.020000
50	3	${WORKSPACE}/data/50-3/wet050_003_3m.dat	50.140000
50	4	${WORKSPACE}/data/50-4/wet050_001_4m.dat	55.500000
50	4	${WORKSPACE}/data/50-4/wet050_002_4m.dat	52.020000
50	4	${WORKSPACE}/data/50-4/wet050_003_4m.dat	50.140000
60	2	${WORKSPACE}/data/60-2/wet060_001_2m.dat	40.450000
60	2	${WORKSPACE}/data/60-2/wet060_002_2m.dat	39.450000
60	2	${WORKSPACE}/data/60-2/wet060_003_2m.dat	37.266667
60	3	${WORKSPACE}/data/60-3/wet060_001_3m.dat	40.450000
60	3	${WORKSPACE}/data/60-3/wet060_002_3m.dat	39.450000
60	3	${WORKSPACE}/data/60-3/wet060_003_3m.dat	37.266667
60	4	${WORKSPACE}/data/60-4/wet060_001_4m.dat	40.450000
60	4	${WORKSPACE}/data/60-4/wet060_002_4m.dat	39.450000
60	4	${WORKSPACE}/data/60-4/wet060_003_4m.dat	37.266667
100	2	${WORKSPACE}/data/100-2/wet100_001_2m.dat	53.000000
100	2	${WORKSPACE}/data/100-2/wet100_002_2m.dat	51.910000
100	2	${WORKSPACE}/data/100-2/wet100_003_2m.dat	48.440000
100	3	${WORKSPACE}/data/100-3/wet100_001_3m.dat	53.000000
100	3	${WORKSPACE}/data/100-3/wet100_002_3m.dat	51.910000
100	3	${WORKSPACE}/data/100-3/wet100_003_3m.dat	48.440000
100	4	${WORKSPACE}/data/100-4/wet100_001_4m.dat	53.000000
100	4	${WORKSPACE}/data/100-4/wet100_002_4m.dat	51.910000
100	4	${WORKSPACE}/data/100-4/wet100_003_4m.dat	48.440000
100	5	${WORKSPACE}/data/100-5/wet100_001_5m.dat	53.000000
100	5	${WORKSPACE}/data/100-5/wet100_002_5m.dat	51.910000
100	5	${WORKSPACE}/data/100-5/wet100_003_5m.dat	48.440000
