runId	mainClass	args	outputDir	dependsOn	block
seed-wet040_001_2m-a1-w103-sc0	HEU.FormalExperimentRunner	--action="seed" --runId="seed-wet040_001_2m-a1-w103-sc0" --instance="${WORKSPACE}/data/40-2/wet040_001_2m.dat" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_001_2m-a1-w103-sc0.seed" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/seed-wet040_001_2m-a1-w103-sc0" --timeScale="1" --dueWindowHalfWidth="103" --setupCostCoefficient="0"	${WORKSPACE}/experiment-suite/formal-v1/runs/seed-wet040_001_2m-a1-w103-sc0		seed
outsourcing-price-wet040_001_2m-a1-w103-sc0-r0.75	HEU.FormalExperimentRunner	--action="solve" --runId="outsourcing-price-wet040_001_2m-a1-w103-sc0-r0.75" --instance="${WORKSPACE}/data/40-2/wet040_001_2m.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_001_2m-a1-w103-sc0-r0.75" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_001_2m-a1-w103-sc0.seed" --timeScale="1" --dueWindowHalfWidth="103" --setupCostCoefficient="0" --outsourcingModel="masterVariables" --outsourcingUnitRate="0.75" --discountStrength="0.15" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_001_2m-a1-w103-sc0-r0.75	seed-wet040_001_2m-a1-w103-sc0	outsourcing-price
outsourcing-price-wet040_001_2m-a1-w103-sc0-r1	HEU.FormalExperimentRunner	--action="solve" --runId="outsourcing-price-wet040_001_2m-a1-w103-sc0-r1" --instance="${WORKSPACE}/data/40-2/wet040_001_2m.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_001_2m-a1-w103-sc0-r1" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_001_2m-a1-w103-sc0.seed" --timeScale="1" --dueWindowHalfWidth="103" --setupCostCoefficient="0" --outsourcingModel="masterVariables" --outsourcingUnitRate="1" --discountStrength="0.15" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_001_2m-a1-w103-sc0-r1	seed-wet040_001_2m-a1-w103-sc0	outsourcing-price
outsourcing-price-wet040_001_2m-a1-w103-sc0-r1.25	HEU.FormalExperimentRunner	--action="solve" --runId="outsourcing-price-wet040_001_2m-a1-w103-sc0-r1.25" --instance="${WORKSPACE}/data/40-2/wet040_001_2m.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_001_2m-a1-w103-sc0-r1.25" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_001_2m-a1-w103-sc0.seed" --timeScale="1" --dueWindowHalfWidth="103" --setupCostCoefficient="0" --outsourcingModel="masterVariables" --outsourcingUnitRate="1.25" --discountStrength="0.15" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_001_2m-a1-w103-sc0-r1.25	seed-wet040_001_2m-a1-w103-sc0	outsourcing-price
seed-wet040_002_2m-a1-w102-sc0	HEU.FormalExperimentRunner	--action="seed" --runId="seed-wet040_002_2m-a1-w102-sc0" --instance="${WORKSPACE}/data/40-2/wet040_002_2m.dat" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_002_2m-a1-w102-sc0.seed" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/seed-wet040_002_2m-a1-w102-sc0" --timeScale="1" --dueWindowHalfWidth="102" --setupCostCoefficient="0"	${WORKSPACE}/experiment-suite/formal-v1/runs/seed-wet040_002_2m-a1-w102-sc0		seed
outsourcing-price-wet040_002_2m-a1-w102-sc0-r0.75	HEU.FormalExperimentRunner	--action="solve" --runId="outsourcing-price-wet040_002_2m-a1-w102-sc0-r0.75" --instance="${WORKSPACE}/data/40-2/wet040_002_2m.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_002_2m-a1-w102-sc0-r0.75" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_002_2m-a1-w102-sc0.seed" --timeScale="1" --dueWindowHalfWidth="102" --setupCostCoefficient="0" --outsourcingModel="masterVariables" --outsourcingUnitRate="0.75" --discountStrength="0.15" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_002_2m-a1-w102-sc0-r0.75	seed-wet040_002_2m-a1-w102-sc0	outsourcing-price
outsourcing-price-wet040_002_2m-a1-w102-sc0-r1	HEU.FormalExperimentRunner	--action="solve" --runId="outsourcing-price-wet040_002_2m-a1-w102-sc0-r1" --instance="${WORKSPACE}/data/40-2/wet040_002_2m.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_002_2m-a1-w102-sc0-r1" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_002_2m-a1-w102-sc0.seed" --timeScale="1" --dueWindowHalfWidth="102" --setupCostCoefficient="0" --outsourcingModel="masterVariables" --outsourcingUnitRate="1" --discountStrength="0.15" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_002_2m-a1-w102-sc0-r1	seed-wet040_002_2m-a1-w102-sc0	outsourcing-price
outsourcing-price-wet040_002_2m-a1-w102-sc0-r1.25	HEU.FormalExperimentRunner	--action="solve" --runId="outsourcing-price-wet040_002_2m-a1-w102-sc0-r1.25" --instance="${WORKSPACE}/data/40-2/wet040_002_2m.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_002_2m-a1-w102-sc0-r1.25" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_002_2m-a1-w102-sc0.seed" --timeScale="1" --dueWindowHalfWidth="102" --setupCostCoefficient="0" --outsourcingModel="masterVariables" --outsourcingUnitRate="1.25" --discountStrength="0.15" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_002_2m-a1-w102-sc0-r1.25	seed-wet040_002_2m-a1-w102-sc0	outsourcing-price
seed-wet040_003_2m-a1-w92-sc0	HEU.FormalExperimentRunner	--action="seed" --runId="seed-wet040_003_2m-a1-w92-sc0" --instance="${WORKSPACE}/data/40-2/wet040_003_2m.dat" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_003_2m-a1-w92-sc0.seed" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/seed-wet040_003_2m-a1-w92-sc0" --timeScale="1" --dueWindowHalfWidth="92" --setupCostCoefficient="0"	${WORKSPACE}/experiment-suite/formal-v1/runs/seed-wet040_003_2m-a1-w92-sc0		seed
outsourcing-price-wet040_003_2m-a1-w92-sc0-r0.75	HEU.FormalExperimentRunner	--action="solve" --runId="outsourcing-price-wet040_003_2m-a1-w92-sc0-r0.75" --instance="${WORKSPACE}/data/40-2/wet040_003_2m.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_003_2m-a1-w92-sc0-r0.75" --seedFile="${WORKSPACE}/experiment-suite/formal-v1/seeds/wet040_003_2m-a1-w92-sc0.seed" --timeScale="1" --dueWindowHalfWidth="92" --setupCostCoefficient="0" --outsourcingModel="masterVariables" --outsourcingUnitRate="0.75" --discountStrength="0.15" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal-v1/runs/outsourcing-price/outsourcing-price-wet040_003_2m-a1-w92-sc0-r0.75	seed-wet040_003_2m-a1-w92-sc0	outsourcing-price
