50 3
273 7749 9 5
1176 945 1 3
2100 4284 5 7
42 0 2 1
693 1134 9 2
1050 2247 8 7
1743 0 2 9
42 9576 4 2
378 9744 3 4
1596 4389 2 1
2058 6258 3 6
609 8757 8 4
756 9366 2 9
819 6951 1 9
2016 0 1 3
714 861 8 7
1008 1659 5 3
1323 0 8 1
1470 6258 1 6
735 1827 8 10
84 6909 9 9
1827 10143 1 3
1134 9177 3 1
357 0 10 9
924 4473 3 8
1323 0 8 2
399 10269 1 10
609 0 5 4
2079 819 10 6
1302 147 8 4
1701 0 4 5
1785 7077 10 2
1932 63 10 9
1470 5628 1 7
1974 4074 1 1
1407 6699 8 1
735 0 8 9
1806 6090 5 4
1134 10542 3 3
420 2583 3 6
672 6552 6 5
567 0 5 4
2016 0 2 2
1176 2415 9 5
1575 0 8 2
546 7833 3 9
2058 0 6 7
1113 6846 2 5
1071 3045 2 5
630 441 7 7
SETUP
0 126 168 168 105 84 168 63 147 126 189 168 147 147 147 189 63 126 126 168 126 84 147 126 126 189 210 126 126 126 189 84 84 189 147 126 105 147 189 189 168 210 147 168 126 168 168 63 168 126 168
0 0 735 756 735 735 126 756 735 714 777 798 819 777 735 756 756 714 756 756 252 252 252 714 189 819 189 147 714 189 798 693 735 630 819 777 777 672 756 819 210 735 147 777 756 777 777 735 756 168 693
0 609 0 672 21 672 693 714 126 126 693 672 672 147 21 756 21 588 651 609 672 609 672 630 714 693 630 714 126 609 651 105 126 147 126 147 693 651 651 714 651 630 651 672 693 651 630 651 693 672 672
0 672 693 0 693 672 756 105 672 651 630 714 105 672 693 168 714 126 777 735 756 672 735 672 714 735 756 672 672 651 735 609 672 693 735 714 714 189 189 126 693 231 735 714 105 735 189 42 735 651 189
0 609 126 672 0 693 693 714 105 168 756 714 672 168 147 777 21 693 630 609 672 609 672 630 714 756 735 735 189 672 630 84 168 126 126 189 735 651 714 693 672 651 672 735 672 735 693 672 735 735 672
0 693 693 651 672 0 714 609 651 630 147 126 714 672 651 693 672 651 105 168 693 651 693 84 693 168 714 630 651 630 147 588 651 672 756 588 168 672 693 735 630 756 693 168 630 147 714 567 168 630 693
0 147 693 777 693 693 0 651 756 693 798 714 777 672 651 756 714 714 735 693 210 147 189 672 210 777 168 189 714 168 714 588 693 693 777 735 714 735 714 777 105 630 168 714 672 756 714 672 693 168 714
0 672 714 210 630 672 756 0 714 714 777 756 189 714 714 210 651 168 714 672 735 672 714 714 672 735 735 735 672 672 714 693 672 693 735 714 735 147 210 168 756 168 735 651 168 651 210 105 735 714 126
0 693 252 798 168 693 693 672 0 147 714 819 714 189 168 777 168 777 756 693 693 693 798 672 609 714 651 735 147 756 756 168 147 168 126 189 714 735 756 714 777 756 714 693 714 756 777 714 672 693 693
0 651 168 672 63 588 651 630 126 0 693 693 714 84 126 672 63 672 693 651 693 651 714 651 714 714 714 651 21 651 651 63 21 147 168 84 714 693 714 672 672 693 714 714 651 714 714 588 672 651 672
0 693 672 756 672 105 672 630 588 630 0 147 714 588 672 714 672 651 189 147 672 651 714 84 630 168 672 651 651 630 168 609 651 735 651 672 168 714 714 630 714 756 714 126 630 168 714 567 126 630 714
0 630 588 714 588 126 714 735 693 672 147 0 630 672 609 714 609 609 126 84 609 630 693 126 735 168 651 735 693 630 126 588 672 714 693 651 168 672 693 672 693 672 693 147 651 126 672 672 168 693 714
0 672 735 147 630 588 714 105 693 672 693 714 0 693 693 189 630 126 693 672 672 672 714 588 672 735 672 672 672 672 651 630 588 693 714 630 735 126 126 42 672 168 693 630 21 735 147 63 735 672 147
0 756 189 735 168 756 693 714 147 189 756 714 714 0 168 735 168 735 693 756 735 735 735 756 672 735 735 693 210 735 735 168 210 168 231 84 735 714 714 756 672 756 777 756 735 798 756 693 735 735 735
0 672 147 714 84 651 714 714 168 168 714 672 714 126 0 777 84 714 693 672 714 672 672 672 756 756 756 735 147 714 672 147 105 126 168 147 714 714 630 756 735 714 714 798 714 735 609 672 672 714 672
0 588 714 231 714 693 609 168 735 672 714 756 126 714 693 0 735 189 756 714 777 714 735 693 651 735 630 714 693 651 609 651 693 672 777 693 735 168 147 168 714 147 693 756 147 672 126 126 567 672 147
