taskSetId	size	caseIndex	machines	setupType	scaleLevel	nominalScale	windowLevel	windowMinimum	windowMaximum	windowFingerprint	instance	sourceFile	averageProcessing
n020-set01	20	1	2	random	base	1	zero	0	0	7880234de4d2ae8b9588ff43efd3d7d70dc7d113e9dad65b32f5cd751bbc7bb1	data/n020-set01/random/base/zero/m2.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	3	random	base	1	zero	0	0	7880234de4d2ae8b9588ff43efd3d7d70dc7d113e9dad65b32f5cd751bbc7bb1	data/n020-set01/random/base/zero/m3.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	4	random	base	1	zero	0	0	7880234de4d2ae8b9588ff43efd3d7d70dc7d113e9dad65b32f5cd751bbc7bb1	data/n020-set01/random/base/zero/m4.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	2	random	base	1	narrow	80	120	e84255f61091bf91026ecdc52ebe3804fb334920323093b335e9f92324e6efd2	data/n020-set01/random/base/narrow/m2.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	3	random	base	1	narrow	80	120	e84255f61091bf91026ecdc52ebe3804fb334920323093b335e9f92324e6efd2	data/n020-set01/random/base/narrow/m3.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	4	random	base	1	narrow	80	120	e84255f61091bf91026ecdc52ebe3804fb334920323093b335e9f92324e6efd2	data/n020-set01/random/base/narrow/m4.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	2	random	base	1	wide	280	320	064998dea42cc56192e13eecfcbf8621279dca616962116b5606579d0ee95ce6	data/n020-set01/random/base/wide/m2.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	3	random	base	1	wide	280	320	064998dea42cc56192e13eecfcbf8621279dca616962116b5606579d0ee95ce6	data/n020-set01/random/base/wide/m3.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	4	random	base	1	wide	280	320	064998dea42cc56192e13eecfcbf8621279dca616962116b5606579d0ee95ce6	data/n020-set01/random/base/wide/m4.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	2	random	medium	10	zero	0	0	7880234de4d2ae8b9588ff43efd3d7d70dc7d113e9dad65b32f5cd751bbc7bb1	data/n020-set01/random/medium-heterogeneous/zero/m2.dat	data/40-1/wet040_024.dat	444.500000000
n020-set01	20	1	3	random	medium	10	zero	0	0	7880234de4d2ae8b9588ff43efd3d7d70dc7d113e9dad65b32f5cd751bbc7bb1	data/n020-set01/random/medium-heterogeneous/zero/m3.dat	data/40-1/wet040_024.dat	444.500000000
n020-set01	20	1	4	random	medium	10	zero	0	0	7880234de4d2ae8b9588ff43efd3d7d70dc7d113e9dad65b32f5cd751bbc7bb1	data/n020-set01/random/medium-heterogeneous/zero/m4.dat	data/40-1/wet040_024.dat	444.500000000
