taskSetId	rate	discountStrength	breakpoint1	breakpoint2	quotationTotal	overlay
n020-set01	0.500000	0.150000	4283.750000000	8567.500000000	6998.000000000	outsourcing-data/n020-set01/rate-0.5-discount-default.dat
n020-set01	1.000000	0.150000	4283.750000000	8567.500000000	6998.000000000	outsourcing-data/n020-set01/rate-1-discount-default.dat
n020-set01	2.000000	0.150000	4283.750000000	8567.500000000	6998.000000000	outsourcing-data/n020-set01/rate-2-discount-default.dat
n020-set01	1.000000	0.000000	4283.750000000	8567.500000000	6998.000000000	outsourcing-data/n020-set01/rate-1-discount-none.dat
n020-set02	0.500000	0.150000	4283.750000000	8567.500000000	8228.000000000	outsourcing-data/n020-set02/rate-0.5-discount-default.dat
n020-set02	1.000000	0.150000	4283.750000000	8567.500000000	8228.000000000	outsourcing-data/n020-set02/rate-1-discount-default.dat
n020-set02	2.000000	0.150000	4283.750000000	8567.500000000	8228.000000000	outsourcing-data/n020-set02/rate-2-discount-default.dat
n020-set02	1.000000	0.000000	4283.750000000	8567.500000000	8228.000000000	outsourcing-data/n020-set02/rate-1-discount-none.dat
n020-set03	0.500000	0.150000	4283.750000000	8567.500000000	8202.000000000	outsourcing-data/n020-set03/rate-0.5-discount-default.dat
n020-set03	1.000000	0.150000	4283.750000000	8567.500000000	8202.000000000	outsourcing-data/n020-set03/rate-1-discount-default.dat
n020-set03	2.000000	0.150000	4283.750000000	8567.500000000	8202.000000000	outsourcing-data/n020-set03/rate-2-discount-default.dat
n020-set03	1.000000	0.000000	4283.750000000	8567.500000000	8202.000000000	outsourcing-data/n020-set03/rate-1-discount-none.dat
n020-set04	0.500000	0.150000	4283.750000000	8567.500000000	6032.000000000	outsourcing-data/n020-set04/rate-0.5-discount-default.dat
n020-set04	1.000000	0.150000	4283.750000000	8567.500000000	6032.000000000	outsourcing-data/n020-set04/rate-1-discount-default.dat
n020-set04	2.000000	0.150000	4283.750000000	8567.500000000	6032.000000000	outsourcing-data/n020-set04/rate-2-discount-default.dat
n020-set04	1.000000	0.000000	4283.750000000	8567.500000000	6032.000000000	outsourcing-data/n020-set04/rate-1-discount-none.dat
n020-set05	0.500000	0.150000	4283.750000000	8567.500000000	7623.000000000	outsourcing-data/n020-set05/rate-0.5-discount-default.dat
n020-set05	1.000000	0.150000	4283.750000000	8567.500000000	7623.000000000	outsourcing-data/n020-set05/rate-1-discount-default.dat
n020-set05	2.000000	0.150000	4283.750000000	8567.500000000	7623.000000000	outsourcing-data/n020-set05/rate-2-discount-default.dat
n020-set05	1.000000	0.000000	4283.750000000	8567.500000000	7623.000000000	outsourcing-data/n020-set05/rate-1-discount-none.dat
n040-set01	0.500000	0.150000	4283.750000000	8567.500000000	13888.000000000	outsourcing-data/n040-set01/rate-0.5-discount-default.dat
n040-set01	1.000000	0.150000	4283.750000000	8567.500000000	13888.000000000	outsourcing-data/n040-set01/rate-1-discount-default.dat
n040-set01	2.000000	0.150000	4283.750000000	8567.500000000	13888.000000000	outsourcing-data/n040-set01/rate-2-discount-default.dat
n040-set01	1.000000	0.000000	4283.750000000	8567.500000000	13888.000000000	outsourcing-data/n040-set01/rate-1-discount-none.dat
n040-set02	0.500000	0.150000	4283.750000000	8567.500000000	15803.000000000	outsourcing-data/n040-set02/rate-0.5-discount-default.dat
n040-set02	1.000000	0.150000	4283.750000000	8567.500000000	15803.000000000	outsourcing-data/n040-set02/rate-1-discount-default.dat
n040-set02	2.000000	0.150000	4283.750000000	8567.500000000	15803.000000000	outsourcing-data/n040-set02/rate-2-discount-default.dat
n040-set02	1.000000	0.000000	4283.750000000	8567.500000000	15803.000000000	outsourcing-data/n040-set02/rate-1-discount-none.dat
n040-set03	0.500000	0.150000	4283.750000000	8567.500000000	15459.000000000	outsourcing-data/n040-set03/rate-0.5-discount-default.dat
n040-set03	1.000000	0.150000	4283.750000000	8567.500000000	15459.000000000	outsourcing-data/n040-set03/rate-1-discount-default.dat
n040-set03	2.000000	0.150000	4283.750000000	8567.500000000	15459.000000000	outsourcing-data/n040-set03/rate-2-discount-default.dat
n040-set03	1.000000	0.000000	4283.750000000	8567.500000000	15459.000000000	outsourcing-data/n040-set03/rate-1-discount-none.dat
n040-set04	0.500000	0.150000	4283.750000000	8567.500000000	13212.000000000	outsourcing-data/n040-set04/rate-0.5-discount-default.dat
n040-set04	1.000000	0.150000	4283.750000000	8567.500000000	13212.000000000	outsourcing-data/n040-set04/rate-1-discount-default.dat
n040-set04	2.000000	0.150000	4283.750000000	8567.500000000	13212.000000000	outsourcing-data/n040-set04/rate-2-discount-default.dat
n040-set04	1.000000	0.000000	4283.750000000	8567.500000000	13212.000000000	outsourcing-data/n040-set04/rate-1-discount-none.dat
n040-set05	0.500000	0.150000	4283.750000000	8567.500000000	14529.000000000	outsourcing-data/n040-set05/rate-0.5-discount-default.dat
n040-set05	1.000000	0.150000	4283.750000000	8567.500000000	14529.000000000	outsourcing-data/n040-set05/rate-1-discount-default.dat
n040-set05	2.000000	0.150000	4283.750000000	8567.500000000	14529.000000000	outsourcing-data/n040-set05/rate-2-discount-default.dat
n040-set05	1.000000	0.000000	4283.750000000	8567.500000000	14529.000000000	outsourcing-data/n040-set05/rate-1-discount-none.dat
n050-set01	0.500000	0.150000	4283.750000000	8567.500000000	19233.000000000	outsourcing-data/n050-set01/rate-0.5-discount-default.dat
n050-set01	1.000000	0.150000	4283.750000000	8567.500000000	19233.000000000	outsourcing-data/n050-set01/rate-1-discount-default.dat
n050-set01	2.000000	0.150000	4283.750000000	8567.500000000	19233.000000000	outsourcing-data/n050-set01/rate-2-discount-default.dat
n050-set01	1.000000	0.000000	4283.750000000	8567.500000000	19233.000000000	outsourcing-data/n050-set01/rate-1-discount-none.dat
n050-set02	0.500000	0.150000	4283.750000000	8567.500000000	17135.000000000	outsourcing-data/n050-set02/rate-0.5-discount-default.dat
n050-set02	1.000000	0.150000	4283.750000000	8567.500000000	17135.000000000	outsourcing-data/n050-set02/rate-1-discount-default.dat
n050-set02	2.000000	0.150000	4283.750000000	8567.500000000	17135.000000000	outsourcing-data/n050-set02/rate-2-discount-default.dat
