taskSetId	rate	discountStrength	quotationTotal	segmentCount	experimentType	instance
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/zero/m2.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/zero/m2.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/zero/m2.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/zero/m3.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/zero/m3.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/zero/m3.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/zero/m4.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/zero/m4.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/zero/m4.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/narrow/m2.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/narrow/m2.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/narrow/m2.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/narrow/m3.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/narrow/m3.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/narrow/m3.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/narrow/m4.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/narrow/m4.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/narrow/m4.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/wide/m2.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/wide/m2.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/wide/m2.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/wide/m3.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/wide/m3.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/wide/m3.dat
