taskSetId	setupType	scaleLevel	windowLevel	nominalScale	machines	instance	targetMean	actualMean	meanError	cap	maximum	triangleViolations	floydChangedArcs	withinMean	betweenMean	bodySha256
n020-set01	random	base	zero	1	2	instances/data/n020-set01/random/base/zero/m2.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	12bce92094ca8c4a582036b7aa954cfc3a8a028969361cf0a4387a0afa56126b
n020-set01	random	base	zero	1	3	instances/data/n020-set01/random/base/zero/m3.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	12bce92094ca8c4a582036b7aa954cfc3a8a028969361cf0a4387a0afa56126b
n020-set01	random	base	zero	1	4	instances/data/n020-set01/random/base/zero/m4.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	12bce92094ca8c4a582036b7aa954cfc3a8a028969361cf0a4387a0afa56126b
n020-set01	random	base	narrow	1	2	instances/data/n020-set01/random/base/narrow/m2.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	f5afb8ca8b1ddb80d7311b01181948aa3a0d7e2d28b4aae87ab88cadd19abfdd
n020-set01	random	base	narrow	1	3	instances/data/n020-set01/random/base/narrow/m3.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	f5afb8ca8b1ddb80d7311b01181948aa3a0d7e2d28b4aae87ab88cadd19abfdd
n020-set01	random	base	narrow	1	4	instances/data/n020-set01/random/base/narrow/m4.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	f5afb8ca8b1ddb80d7311b01181948aa3a0d7e2d28b4aae87ab88cadd19abfdd
n020-set01	random	base	wide	1	2	instances/data/n020-set01/random/base/wide/m2.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	4afc02b29812bf24e93e434b89b189da87b5f7ba5407163e7ab377d274fe4efa
n020-set01	random	base	wide	1	3	instances/data/n020-set01/random/base/wide/m3.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	4afc02b29812bf24e93e434b89b189da87b5f7ba5407163e7ab377d274fe4efa
n020-set01	random	base	wide	1	4	instances/data/n020-set01/random/base/wide/m4.dat	25.900000000	25.900000000	0.000000000	51	51	0	0	NaN	NaN	4afc02b29812bf24e93e434b89b189da87b5f7ba5407163e7ab377d274fe4efa
n020-set01	random	medium	zero	10	2	instances/data/n020-set01/random/medium-heterogeneous/zero/m2.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	2984fa554e9bcc7e0206f9f7e65e3231a4398282917fb03ea2924a7ed2351dfa
n020-set01	random	medium	zero	10	3	instances/data/n020-set01/random/medium-heterogeneous/zero/m3.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	2984fa554e9bcc7e0206f9f7e65e3231a4398282917fb03ea2924a7ed2351dfa
n020-set01	random	medium	zero	10	4	instances/data/n020-set01/random/medium-heterogeneous/zero/m4.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	2984fa554e9bcc7e0206f9f7e65e3231a4398282917fb03ea2924a7ed2351dfa
n020-set01	random	medium	narrow	10	2	instances/data/n020-set01/random/medium-heterogeneous/narrow/m2.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	8b3f3df36a8f2433875d7eb004c8c0e1de0b5aa83d2e088d75121a53889358ea
n020-set01	random	medium	narrow	10	3	instances/data/n020-set01/random/medium-heterogeneous/narrow/m3.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	8b3f3df36a8f2433875d7eb004c8c0e1de0b5aa83d2e088d75121a53889358ea
n020-set01	random	medium	narrow	10	4	instances/data/n020-set01/random/medium-heterogeneous/narrow/m4.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	8b3f3df36a8f2433875d7eb004c8c0e1de0b5aa83d2e088d75121a53889358ea
n020-set01	random	medium	wide	10	2	instances/data/n020-set01/random/medium-heterogeneous/wide/m2.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	4261560cc685c973f4e561c4d219170695d8f28fc5470bfb7def76384ee50706
n020-set01	random	medium	wide	10	3	instances/data/n020-set01/random/medium-heterogeneous/wide/m3.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	4261560cc685c973f4e561c4d219170695d8f28fc5470bfb7def76384ee50706
n020-set01	random	medium	wide	10	4	instances/data/n020-set01/random/medium-heterogeneous/wide/m4.dat	222.250000000	222.776315789	0.526315789	444	438	0	0	NaN	NaN	4261560cc685c973f4e561c4d219170695d8f28fc5470bfb7def76384ee50706
n020-set01	random	high	zero	20	2	instances/data/n020-set01/random/high-heterogeneous/zero/m2.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	4c4dc73835365d1e8221c333b94eaa1324e9e757e32594a425af3a612f201767
n020-set01	random	high	zero	20	3	instances/data/n020-set01/random/high-heterogeneous/zero/m3.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	4c4dc73835365d1e8221c333b94eaa1324e9e757e32594a425af3a612f201767
n020-set01	random	high	zero	20	4	instances/data/n020-set01/random/high-heterogeneous/zero/m4.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	4c4dc73835365d1e8221c333b94eaa1324e9e757e32594a425af3a612f201767
n020-set01	random	high	narrow	20	2	instances/data/n020-set01/random/high-heterogeneous/narrow/m2.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	4923eeef48cfb1e3e855ea41d168edbe794d5f7dd552778b212df533905fb1ba
n020-set01	random	high	narrow	20	3	instances/data/n020-set01/random/high-heterogeneous/narrow/m3.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	4923eeef48cfb1e3e855ea41d168edbe794d5f7dd552778b212df533905fb1ba
n020-set01	random	high	narrow	20	4	instances/data/n020-set01/random/high-heterogeneous/narrow/m4.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	4923eeef48cfb1e3e855ea41d168edbe794d5f7dd552778b212df533905fb1ba
n020-set01	random	high	wide	20	2	instances/data/n020-set01/random/high-heterogeneous/wide/m2.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	1987da6f71c2affa705896d30d8d9482a2d7d3bd59b6591dcfcd6817f45321af
n020-set01	random	high	wide	20	3	instances/data/n020-set01/random/high-heterogeneous/wide/m3.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	1987da6f71c2affa705896d30d8d9482a2d7d3bd59b6591dcfcd6817f45321af
n020-set01	random	high	wide	20	4	instances/data/n020-set01/random/high-heterogeneous/wide/m4.dat	468.150000000	468.644736842	0.494736842	936	922	0	0	NaN	NaN	1987da6f71c2affa705896d30d8d9482a2d7d3bd59b6591dcfcd6817f45321af
n020-set01	family	base	zero	1	2	instances/data/n020-set01/family/base/zero/m2.dat	25.900000000	25.894736842	-0.005263158	51	40	0	0	7.070175439	33.962406015	5a5194646d9786ce0e05f7bcdbf2d445332ee99bf245601d3ea5efed218887a7
