taskSetId	setupType	scaleLevel	nominalScale	machines	instance	processingMismatches	centerMismatches	weightMismatches	setupMismatches	workloadScale	multiplierFingerprint	bodySha256
n020-set01	random	medium	10	2	instances/data/n020-set01/random/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	339f2fd64fb885bb6ebac07de7fa0bc5394b7be0d80e4e5fc76d72a7c17ccbd0	4f500dd53bdcbe4ed217373bd3056219b4be7d619226263aee9ac93ee71eb887
n020-set01	random	medium	10	3	instances/data/n020-set01/random/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	339f2fd64fb885bb6ebac07de7fa0bc5394b7be0d80e4e5fc76d72a7c17ccbd0	70babb35e4dec60bbbcdf4efadaefac41ff067ec5ec9df4b1a043b20454c96e0
n020-set01	random	medium	10	4	instances/data/n020-set01/random/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	339f2fd64fb885bb6ebac07de7fa0bc5394b7be0d80e4e5fc76d72a7c17ccbd0	a88d8fbd919d3b0637e9da80ae3c54c0feafd71bdd0ca22ad9ef887da5c180e1
n020-set01	random	high	20	2	instances/data/n020-set01/random/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	2626d973790284adf781d08c53aef0f1a8cbdc2457a4ec8b30fe27abf4c07e87	f16b663a23e78cd45a389632d72fefa71c93c46f338f5d2663b1f6fd1490d1d9
n020-set01	random	high	20	3	instances/data/n020-set01/random/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	2626d973790284adf781d08c53aef0f1a8cbdc2457a4ec8b30fe27abf4c07e87	08fea024bbbbe63592d053d5edd111bc85dce4534a658ab93d9e25d6aa9c7b86
n020-set01	random	high	20	4	instances/data/n020-set01/random/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	2626d973790284adf781d08c53aef0f1a8cbdc2457a4ec8b30fe27abf4c07e87	5fe0329cb41e51db967c9c7bfece32955094fb4fc0810d34d8b83b44d1feaaa0
n020-set01	family	medium	10	2	instances/data/n020-set01/family/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	339f2fd64fb885bb6ebac07de7fa0bc5394b7be0d80e4e5fc76d72a7c17ccbd0	4b382b94175efc983aad1d1a8adf861795ed852f6f751ee8e06f2d34c2bdd8b8
n020-set01	family	medium	10	3	instances/data/n020-set01/family/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	339f2fd64fb885bb6ebac07de7fa0bc5394b7be0d80e4e5fc76d72a7c17ccbd0	9cf2fe65ccdc2584a4fad61afd229258dafc43d6c0050f12223db5138599fb57
n020-set01	family	medium	10	4	instances/data/n020-set01/family/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	339f2fd64fb885bb6ebac07de7fa0bc5394b7be0d80e4e5fc76d72a7c17ccbd0	32af8cc8bb4c862a3e814e0d59a93b8af64c8a5ba5828378bbdbfb5e7a4e238e
n020-set01	family	high	20	2	instances/data/n020-set01/family/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	2626d973790284adf781d08c53aef0f1a8cbdc2457a4ec8b30fe27abf4c07e87	d51499232509f1c6ddee57ee610114d22ba51107a73bd9fbcb8196655a238b60
