taskSetId	scaleLevel	multiplier	selectionSeed
n020-set01	base	1	60359017967475
n020-set01	medium	12	60359017967475
n020-set01	high	22	60359017967475
n020-set02	base	1	60359017967475
n020-set02	medium	15	60359017967475
n020-set02	high	25	60359017967475
n020-set03	base	1	60359017967475
n020-set03	medium	5	60359017967475
n020-set03	high	15	60359017967475
n020-set04	base	1	60359017967475
n020-set04	medium	10	60359017967475
n020-set04	high	20	60359017967475
n020-set05	base	1	60359017967475
n020-set05	medium	9	60359017967475
n020-set05	high	19	60359017967475
n040-set01	base	1	60359017986695
n040-set01	medium	9	60359017986695
n040-set01	high	19	60359017986695
n040-set02	base	1	60359017986695
n040-set02	medium	8	60359017986695
n040-set02	high	18	60359017986695
n040-set03	base	1	60359017986695
n040-set03	medium	6	60359017986695
n040-set03	high	16	60359017986695
n040-set04	base	1	60359017986695
n040-set04	medium	12	60359017986695
n040-set04	high	22	60359017986695
n040-set05	base	1	60359017986695
n040-set05	medium	5	60359017986695
n040-set05	high	15	60359017986695
n050-set01	base	1	60359017996305
n050-set01	medium	13	60359017996305
n050-set01	high	23	60359017996305
n050-set02	base	1	60359017996305
n050-set02	medium	11	60359017996305
n050-set02	high	21	60359017996305
n050-set03	base	1	60359017996305
n050-set03	medium	5	60359017996305
n050-set03	high	15	60359017996305
n050-set04	base	1	60359017996305
n050-set04	medium	9	60359017996305
n050-set04	high	19	60359017996305
n050-set05	base	1	60359017996305
n050-set05	medium	15	60359017996305
n050-set05	high	25	60359017996305
n060-set01	base	1	60359018005915
n060-set01	medium	9	60359018005915
n060-set01	high	19	60359018005915
n060-set02	base	1	60359018005915
n060-set02	medium	6	60359018005915
n060-set02	high	16	60359018005915
n060-set03	base	1	60359018005915
n060-set03	medium	7	60359018005915
n060-set03	high	17	60359018005915
n060-set04	base	1	60359018005915
n060-set04	medium	15	60359018005915
n060-set04	high	25	60359018005915
n060-set05	base	1	60359018005915
n060-set05	medium	13	60359018005915
n060-set05	high	23	60359018005915
n080-set01	base	1	60359018025135
n080-set01	medium	11	60359018025135
n080-set01	high	21	60359018025135
n080-set02	base	1	60359018025135
n080-set02	medium	7	60359018025135
n080-set02	high	17	60359018025135
n080-set03	base	1	60359018025135
n080-set03	medium	10	60359018025135
n080-set03	high	20	60359018025135
n080-set04	base	1	60359018025135
n080-set04	medium	15	60359018025135
n080-set04	high	25	60359018025135
n080-set05	base	1	60359018025135
n080-set05	medium	6	60359018025135
n080-set05	high	16	60359018025135
n100-set01	base	1	60359018044355
n100-set01	medium	7	60359018044355
n100-set01	high	17	60359018044355
n100-set02	base	1	60359018044355
n100-set02	medium	13	60359018044355
n100-set02	high	23	60359018044355
n100-set03	base	1	60359018044355
n100-set03	medium	9	60359018044355
n100-set03	high	19	60359018044355
n100-set04	base	1	60359018044355
n100-set04	medium	14	60359018044355
n100-set04	high	24	60359018044355
n100-set05	base	1	60359018044355
n100-set05	medium	6	60359018044355
n100-set05	high	16	60359018044355
