taskSetId	setupType	scaleLevel	multiplier	targetMean	actualMean	meanError	cap	maximum	capHitRate	triangleViolations	floydChangedArcs	withinMean	betweenMean	rawMean	closedMean	firstFloydChangedArcs	calibrationScale	withinPairRatio	randomLocation	withinLocation	betweenLocation	familyByJob
n020-set01	random	base	1	25.900000000	25.900000000	0.000000000	51	51	0.002631579	0	0	NaN	NaN	26.520291523	18.612506242	246	1.363708496094	0.300000000	26.024801394	NaN	NaN	NA
n020-set01	random	medium	12	310.800000000	310.800000000	0.000000000	612	612	0.002631579	0	0	NaN	NaN	26.520291523	18.612506242	246	1.363708496094	0.300000000	26.024801394	NaN	NaN	NA
n020-set01	random	high	22	569.800000000	569.800000000	0.000000000	1122	1122	0.002631579	0	0	NaN	NaN	26.520291523	18.612506242	246	1.363708496094	0.300000000	26.024801394	NaN	NaN	NA
n020-set01	family	base	1	25.900000000	25.900000000	0.000000000	51	51	0.005263158	0	0	14.745614035	30.680451128	26.638837414	14.895288068	288	1.704223632813	0.300000000	26.024801394	10.034992057	38.161388791	1,2,0,0,2,0,0,1,0,2,2,1,1,0,1,2,1,0,2,1
n020-set01	family	medium	12	310.800000000	310.800000000	0.000000000	612	612	0.005263158	0	0	176.947368421	368.165413534	26.638837414	14.895288068	288	1.704223632813	0.300000000	26.024801394	10.034992057	38.161388791	1,2,0,0,2,0,0,1,0,2,2,1,1,0,1,2,1,0,2,1
n020-set01	family	high	22	569.800000000	569.800000000	0.000000000	1122	1122	0.005263158	0	0	324.403508772	674.969924812	26.638837414	14.895288068	288	1.704223632813	0.300000000	26.024801394	10.034992057	38.161388791	1,2,0,0,2,0,0,1,0,2,2,1,1,0,1,2,1,0,2,1
n020-set02	random	base	1	27.875000000	27.873684211	-0.001315789	55	49	0.000000000	0	0	NaN	NaN	28.138637594	20.952942235	234	1.306335449219	0.300000000	27.991022174	NaN	NaN	NA
n020-set02	random	medium	15	418.125000000	418.105263158	-0.019736842	825	735	0.000000000	0	0	NaN	NaN	28.138637594	20.952942235	234	1.306335449219	0.300000000	27.991022174	NaN	NaN	NA
n020-set02	random	high	25	696.875000000	696.842105263	-0.032894737	1375	1225	0.000000000	0	0	NaN	NaN	28.138637594	20.952942235	234	1.306335449219	0.300000000	27.991022174	NaN	NaN	NA
n020-set02	family	base	1	27.875000000	27.873684211	-0.001315789	55	53	0.000000000	0	0	14.078947368	33.785714286	28.579759046	16.737993968	292	1.635253906250	0.300000000	27.991022174	10.800208633	40.978487574	0,0,0,1,2,2,2,1,2,1,1,1,1,2,1,2,0,0,0,0
n020-set02	family	medium	15	418.125000000	418.105263158	-0.019736842	825	795	0.000000000	0	0	211.184210526	506.785714286	28.579759046	16.737993968	292	1.635253906250	0.300000000	27.991022174	10.800208633	40.978487574	0,0,0,1,2,2,2,1,2,1,1,1,1,2,1,2,0,0,0,0
