runId	mainClass	args	outputDir	dependsOn	block	action	instanceId	size	machines	setupType	windowLevel	algorithm	branching
large-ti-r80s01-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-ti-r80s01-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set01/random/base/zero/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r80s01-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r80s01-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r80s01-zero-m4		ti-tisri-large-random	solve	r80s01-zero-m4	80	4	random	zero	TIME_INDEXED	arc
large-ti-r80s03-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-ti-r80s03-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/base/zero/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r80s03-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r80s03-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r80s03-zero-m4		ti-tisri-large-random	solve	r80s03-zero-m4	80	4	random	zero	TIME_INDEXED	arc
large-ti-r80s05-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-ti-r80s05-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set05/random/base/zero/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r80s05-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r80s05-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r80s05-zero-m4		ti-tisri-large-random	solve	r80s05-zero-m4	80	4	random	zero	TIME_INDEXED	arc
large-ti-r100s01-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-ti-r100s01-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set01/random/base/zero/m5.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r100s01-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r100s01-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r100s01-zero-m5		ti-tisri-large-random	solve	r100s01-zero-m5	100	5	random	zero	TIME_INDEXED	arc
large-ti-r100s03-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-ti-r100s03-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set03/random/base/zero/m5.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r100s03-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r100s03-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r100s03-zero-m5		ti-tisri-large-random	solve	r100s03-zero-m5	100	5	random	zero	TIME_INDEXED	arc
large-ti-r100s05-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-ti-r100s05-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set05/random/base/zero/m5.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r100s05-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r100s05-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-ti-r100s05-zero-m5		ti-tisri-large-random	solve	r100s05-zero-m5	100	5	random	zero	TIME_INDEXED	arc
large-tisri-r80s01-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-tisri-r80s01-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set01/random/base/zero/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r80s01-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r80s01-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r80s01-zero-m4		ti-tisri-large-random	solve	r80s01-zero-m4	80	4	random	zero	TIME_INDEXED_SRI	arc
large-tisri-r80s03-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-tisri-r80s03-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/base/zero/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r80s03-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r80s03-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r80s03-zero-m4		ti-tisri-large-random	solve	r80s03-zero-m4	80	4	random	zero	TIME_INDEXED_SRI	arc
large-tisri-r80s05-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-tisri-r80s05-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set05/random/base/zero/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r80s05-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r80s05-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r80s05-zero-m4		ti-tisri-large-random	solve	r80s05-zero-m4	80	4	random	zero	TIME_INDEXED_SRI	arc
large-tisri-r100s01-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="large-tisri-r100s01-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set01/random/base/zero/m5.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r100s01-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-arc-ng-large-random-4h/seeds/r100s01-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-ti-tisri-large-random-4h/runs/large-tisri-r100s01-zero-m5		ti-tisri-large-random	solve	r100s01-zero-m5	100	5	random	zero	TIME_INDEXED_SRI	arc
