runId	mainClass	args	outputDir	dependsOn	block	action	instanceId	size	machines	setupType	scaleLevel	windowLevel	algorithm	branching
ts-ng-r80s03-medium-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-ng-r80s03-medium-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/medium-heterogeneous/zero/m4.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r80s03-medium-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r80s03-medium-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r80s03-medium-zero-m4		time-scale-large-random	solve	r80s03-medium-zero-m4	80	4	random	medium	zero	NG_DSSR	arc
ts-ti-r80s03-medium-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-ti-r80s03-medium-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/medium-heterogeneous/zero/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ti-r80s03-medium-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r80s03-medium-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ti-r80s03-medium-zero-m4		time-scale-large-random	solve	r80s03-medium-zero-m4	80	4	random	medium	zero	TIME_INDEXED	arc
ts-tisri-r80s03-medium-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-tisri-r80s03-medium-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/medium-heterogeneous/zero/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-tisri-r80s03-medium-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r80s03-medium-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-tisri-r80s03-medium-zero-m4		time-scale-large-random	solve	r80s03-medium-zero-m4	80	4	random	medium	zero	TIME_INDEXED_SRI	arc
ts-ng-r80s03-high-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-ng-r80s03-high-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/high-heterogeneous/zero/m4.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r80s03-high-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r80s03-high-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r80s03-high-zero-m4		time-scale-large-random	solve	r80s03-high-zero-m4	80	4	random	high	zero	NG_DSSR	arc
ts-ti-r80s03-high-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-ti-r80s03-high-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/high-heterogeneous/zero/m4.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ti-r80s03-high-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r80s03-high-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ti-r80s03-high-zero-m4		time-scale-large-random	solve	r80s03-high-zero-m4	80	4	random	high	zero	TIME_INDEXED	arc
ts-tisri-r80s03-high-zero-m4	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-tisri-r80s03-high-zero-m4" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n080-set03/random/high-heterogeneous/zero/m4.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-tisri-r80s03-high-zero-m4" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r80s03-high-zero-m4.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-tisri-r80s03-high-zero-m4		time-scale-large-random	solve	r80s03-high-zero-m4	80	4	random	high	zero	TIME_INDEXED_SRI	arc
ts-ng-r100s03-medium-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-ng-r100s03-medium-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set03/random/medium-heterogeneous/zero/m5.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r100s03-medium-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r100s03-medium-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r100s03-medium-zero-m5		time-scale-large-random	solve	r100s03-medium-zero-m5	100	5	random	medium	zero	NG_DSSR	arc
ts-ti-r100s03-medium-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-ti-r100s03-medium-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set03/random/medium-heterogeneous/zero/m5.dat" --algorithm="TIME_INDEXED" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ti-r100s03-medium-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r100s03-medium-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ti-r100s03-medium-zero-m5		time-scale-large-random	solve	r100s03-medium-zero-m5	100	5	random	medium	zero	TIME_INDEXED	arc
ts-tisri-r100s03-medium-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-tisri-r100s03-medium-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set03/random/medium-heterogeneous/zero/m5.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-tisri-r100s03-medium-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r100s03-medium-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-tisri-r100s03-medium-zero-m5		time-scale-large-random	solve	r100s03-medium-zero-m5	100	5	random	medium	zero	TIME_INDEXED_SRI	arc
ts-ng-r100s03-high-zero-m5	Common.formal.FormalExperimentRunner	--action="solve" --runId="ts-ng-r100s03-high-zero-m5" --instance="D:/ccx_work/考虑交付的机器调度/work1/instances/no_outsourcing/data/n100-set03/random/high-heterogeneous/zero/m5.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r100s03-high-zero-m5" --seedFile="D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/seeds/r100s03-high-zero-m5.seed" --timeLimitSeconds="14400" --maxNodes="100000" --enableClusterBranching="false"	D:/ccx_work/考虑交付的机器调度/work1/experiments/20260904-time-scale-large-random-4h/runs/ts-ng-r100s03-high-zero-m5		time-scale-large-random	solve	r100s03-high-zero-m5	100	5	random	high	zero	NG_DSSR	arc
